91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,181.40000000000,0.7000000000,13.10000000,1.17000000,1017.00000000,3.20000000,Msini,0.027000,,,0,K0 III,4665.00,11.000000,1.400000,-0.0300,[Fe/H],2.520000,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.03040000,4.2394600,1.5970000,3.9531100
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,,93.9000000000,12.50000000,1.12000000,2860.45566300,9.00000000,Mass,0.400000,,,0,,9770.00,2.958870,2.400000,,,3.774110,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.12700000,7.0760000,4.2300000,7.0785400
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,,260.0000000000,12.30000000,1.10000000,4290.50000000,13.50000000,Mass,,,,0,K2 V,5285.00,0.999394,0.900000,0.0400,[Fe/H],4.530000,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.04750000,9.1300000,6.9810000,8.8378000
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,8030.00000000000,8.4000000000,13.10000000,1.17000000,1017.05090240,3.20000000,Mass,0.240000,,1400.00,0,F8 V,6130.00,1.250000,1.200000,0.1900,[Fe/H],4.400000,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.85640000,6.3320000,4.9260000,6.1864400
AT2021ueyL b,AT2021ueyL,1,1,Microlensing,2025,Multiple Observatories,0,4168.69000000000,4.0100000000,13.60000000,1.22000000,425.89006538,1.34000000,Mass,,,,0,M V,3680.00,,0.490000,,,,21h38m10.81s,324.5450417,+26d27m59.65s,26.4665694,1040.00000000,,,
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46308000000,0.0649000000,3.95677019,0.35300000,20.12000000,0.06330460,Mass,0.005770,21.2000,600.00,1,M1,3678.00,0.744000,0.510000,0.2300,[Fe/H],4.404000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.72210000,8.8100000,4.5290000,7.8403800
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85969000000,0.1108000000,2.52202066,0.22500000,9.60000000,0.03020498,Mass,0.003380,7.3000,459.00,0,M1,3678.00,0.744000,0.510000,0.2300,[Fe/H],4.404000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.72210000,8.8100000,4.5290000,7.8403800
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,Multiple Observatories,0,12.73596000000,,1.02000000,0.09120000,1.05300000,0.00331000,Mass,0.003050,,,0,M1,3678.00,0.744000,0.510000,0.2300,[Fe/H],4.404000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.72210000,8.8100000,4.5290000,7.8403800
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,481.90000000000,1.3000000000,12.70000000,1.13000000,2034.11200000,6.40000000,Msini,0.200000,,,0,,4095.00,32.350000,1.140000,-0.7100,[Fe/H],1.890000,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63000000,9.5770000,6.0210000,8.9977000
BD+05 4868 A b,BD+05 4868 A,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),0,1.27186900000,0.0208000000,,,6.20000000,0.01950738,Mass,,,1820.00,0,K V,4596.00,0.690000,0.700000,-0.0500,[Fe/H],4.600000,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,43.56870000,10.1580000,7.4480000,9.8415200
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,268.94000000000,0.7800000000,13.80000000,1.23000000,330.54320000,1.04000000,Msini,0.290000,,,0,K2 V,4864.00,0.860000,0.490000,0.1700,[Fe/H],4.260000,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.35200000,9.7800000,7.3360000,9.3510800
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,153.22000000000,0.5760000000,13.80000000,1.23000000,337.21763000,1.06100000,Msini,0.001000,,,0,G5,4649.00,8.950000,1.080000,-0.2200,[Fe/H],2.610000,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.04500000,10.4100000,7.7180000,9.9918000
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,137.48000000000,0.5390000000,13.70000000,1.23000000,352.78000000,1.11000000,Msini,0.260000,,,0,K0,4796.00,14.700000,1.100000,0.2800,[Fe/H],2.800000,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.42000000,9.0100000,6.5250000,8.7178000
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,379.63000000000,1.4500000000,12.10000000,1.08000000,6807.63000000,21.42000000,Msini,0.150000,,,0,K2 II,4137.00,49.000000,2.800000,-1.0000,[Fe/H],1.510000,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.71000000,9.7430000,6.4200000,9.2268400
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,621.99000000000,2.0100000000,12.40000000,1.10000000,3963.17000000,12.47000000,Msini,0.180000,,,0,K2 II,4137.00,49.000000,2.800000,-1.0000,[Fe/H],1.510000,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.71000000,9.7430000,6.4200000,9.2268400
